semester,departmentId,serialNumber,attributeCode,systemCode,forGrade,forClass,forClassGroup,category,courseName,courseNote,courseLimit,tags,credits,required,instructors,selected,available,time
01130,A1,101,FLC1016,A110500-1,,,,外國語言,基礎學術英文,模組一,,,2,True,鍾淑玫,32,5,"0,2,3,03,26304,修齊大樓 26304"
01130,A1,102,FLC1017,A110600-2,,,,外國語言,基礎學術溝通,模組一,,,2,True,賴諭萱,36,1,"0,2,3,03,26102,修齊大樓 26102"
01130,A1,103,FLC1031,A117600-3,,,,外國語言,職場英文,模組二,,,2,True,辛佳玲,36,1,"0,2,3,03,26103,修齊大樓 26103"
01130,A1,104,FLC1018,A110700-4,,,,外國語言,跨文化溝通,模組一,,,2,True,許富貴,36,1,"0,2,3,03,26104,修齊大樓 26104"
01130,A1,106,FLC1025,A117000-6,,,,外國語言,基礎工程英文,模組二,,,2,True,辛佳玲,39,1,"0,6,7,03,26103,修齊大樓 26103"
01130,A1,107,FLC1029,A117400-7,,,,外國語言,資訊英文,模組二,,,2,True,許富貴,35,2,"0,6,7,03,26104,修齊大樓 26104"
01130,A1,108,FLC1030,A117500-8,,,,外國語言,餐旅英文,模組二,,,2,True,陳冠云,35,2,"0,6,7,03,26105,修齊大樓 26105"
01130,A1,109,FLC1033,A117800-9,,,,外國語言,國際禮儀與溝通,模組三,,,2,True,賴諭萱,30,8,"0,6,7,03,26102,修齊大樓 26102"
01130,A1,111,FLC1019,A110800-11,,,,外國語言,聽力與摘記練習,模組一,,,2,True,吳少方,38,2,"1,3,4,03,26202,修齊大樓 26202"
01130,A1,114,FLC1020,A110900-14,,,,外國語言,人文醫學英文,模組二,,,2,True,許富貴,37,0,"1,3,4,03,26304,修齊大樓 26304"
01130,A1,115,FLC1023,A116800-15,,,,外國語言,商業溝通英文,模組二,,,2,True,賴諭萱,32,5,"1,3,4,03,26102,修齊大樓 26102"
01130,A1,122,FLC1035,A118000-22,,,,外國語言,學術英文寫作,模組三,,,2,True,陳冠云,24,1,"1,6,7,03,26202,修齊大樓 26202"
01130,A1,127,FLC1024,A116900-27,,,,外國語言,商管英文,模組二,,,2,True,陳慧琴,29,4,"2,3,4,03,26206,修齊大樓 26206"
01130,A1,130,FLC1021,A111000-30,,,,外國語言,生物科技英文,模組二,,,2,True,吳少方,37,1,"2,3,4,03,26105,修齊大樓 26105"
01130,A1,131,FLC1036,A118200-31,,,,外國語言,基礎英文寫作,模組一,,,2,True,陳冠云,21,2,"2,3,4,03,26202,修齊大樓 26202"
01130,A1,137,FLC1022,A116700-37,,,,外國語言,高科技產業英文,模組二,,,2,True,吳少方,37,1,"2,6,7,03,26105,修齊大樓 26105"
01130,A1,149,FLC1027,A117200-49,,,,外國語言,創意產業英文,模組二,,,2,True,曾惠鈴,21,16,"3,6,7,03,26104,修齊大樓 26104"
01130,A1,151,FLC1026,A117100-51,,,,外國語言,基礎科學英文,模組二,,,2,True,陳冠云,37,1,"3,6,7,03,26105,修齊大樓 26105"
01130,A1,152,FLC1037,A118300-52,,,,外國語言,用高階思維說故事,模組三,,,2,True,阮素菁,40,0,"3,6,7,03,26304,修齊大樓 26304"
01130,A1,162,FLC1032,A117700-62,,,,外國語言,英語解說與發表,模組三,,,2,True,許富貴,38,1,"4,6,7,03,26104,修齊大樓 26104"
01130,A1,501,FLC1061,A122910-1,,,,講義,日文（一）,限非日語母語人士修課,,,2,False,井上智鶴,38,6,"0,6,7,03,26408,修齊大樓 26408"
01130,A1,520,FLC10631,A160130-1,,,,講義,日文（三）,限非日語母語人士修課,,,2,False,井上智鶴,43,2,"0,8,9,03,26408,修齊大樓 26408"
01130,A1,531,FLC1065,A122950-1,,,,講義,日文（五）,限非日語母語人士修課,,,2,False,朱戎梅,21,19,"0,6,7,1B,5108,規劃設計大樓 5108"
01130,A1,536,FLC1101,A125400-1,,,,講義,日語生活會話,適合具日語檢定N4以上程度或已修習日文(四)以上課程者，限非日語母語人士修課,,,2,False,井上智鶴,43,2,"2,3,4,16,62119,統計系館 62119"
01130,A1,537,FLC1102,A125500-1,,,,講義,日語閱讀,適合具日語檢定N4以上程度或已修習日文(四)以上課程者，限非日語母語人士修課,,,2,False,張巧螓,41,2,"3,8,9,03,26404,修齊大樓 26404"
01130,A1,538,FLC1069,A123110-1,,,,講義,法文（一）,限非法語母語人士修課,,,2,False,林蜀媛,42,3,"1,1,2,1B,5118,規劃設計大樓 5118"
01130,A1,545,FLC1071,A123130-1,,,,講義,法文（三）,限非法語母語人士修課,,,2,False,林蜀媛,23,17,"1,3,4,1B,5118,規劃設計大樓 5118"
01130,A1,547,FLC1073,A141200-1,,,,講義,法文（五）,限非法語母語人士修課,,,2,False,林蜀媛,27,13,"3,6,7,16,62119,統計系館 62119"
01130,A1,548,FLC1075,A123010-1,,,,講義,德文（一）,限非德語母語人士修課,,,2,False,張淑慧,35,9,"0,2,3,1B,5118,規劃設計大樓 5118"
01130,A1,554,FLC1077,A160530-1,,,,講義,德文（三）,限非德語母語人士修課,,,2,False,張淑慧,27,13,"3,3,4,15,62231,企管系館 62231"
01130,A1,556,FLC1081,A111210-1,,,,講義,西班牙文（一）,限非西語母語人士修課,,,2,False,白芳怡,35,5,"1,3,4,01,21102,中文系館 21102"
01130,A1,562,FLC1083,A111230-1,,,,講義,西班牙文（三）,限非西語母語人士修課,,,2,False,白芳怡,20,20,"1,6,7,14,62102,交管系館 62102"
01130,A1,564,FLC1085,A130110-1,,,,講義,越南語（一）,限非越南語母語人士修課,,東南亞文化學分學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=104,2,False,蔡氏清水,44,0,"2,6,7,89,892S4,生科院大樓 892S4"
01130,A1,565,FLC1089,A118510-1,,,,講義,印尼語（一）,限非印尼語及非馬來語人士修課,,東南亞文化學分學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=104,2,False,董莉,37,3,"2,3,4,03,26404,修齊大樓 26404"
01130,A1,566,FLC1090,A118610-1,,,,講義,泰語（一）,限非泰語母語人士修課,,東南亞文化學分學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=104,2,False,林綉玉,35,5,"3,3,4,A1,A1301,共同教室 A1301"
01130,A1,568,FLC1107,A119810-1,,,,講義,韓文初級（一）,限非韓文母語人士修課,,,2,False,尹遠菱,40,5,"3,3,4,A1,A1306,共同教室 A1306(資源後)"
01130,A1,701,FLC0000,A130200-1,,,,講義,線上補強英文,須先修畢必修英文4學分且未達該系英語能力指標者始得選修,,遠距課程|0|,0,False,賴諭萱,442,258,
01130,A1,702,FLC6000,A180200-1,,碩博,,講義,研究所線上英文,,限碩一以上選課,遠距課程|0|,0,False,陳慧琴,104,96,
01130,A2,1,OPE434,A21C200-1,1,一年級體育（女生組）,,講義,基礎防身術與健康知能,【男女合班】自備室內用(乾淨)運動鞋,,,0,True,許又文,20,0,"4,3,4,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,2,OPE423,A21B100-1,1,一年級體育（女生組）,,講義,基礎太極拳與健康知能,,,,0,True,高華君,20,0,"1,8,9,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,4,OPE410,A219800-1,1,一年級體育（女生組）,,講義,基礎水中有氧與健康知能,【男女合班】泳具自備,,,0,True,高華君,17,3,"0,8,9,A63,A231,成大綜合體育館 體育館游泳池"
01130,A2,5,OPE405,A219300-1,1,一年級體育（女生組）,,講義,基礎羽球與健康知能,【男女合班】球具自備,,,0,True,涂國誠,22,2,"0,8,9,A63,A234,成大綜合體育館 體育館羽球場"
01130,A2,11,OPE403,A219100-1,1,一年級體育（女生組）,,講義,基礎西洋劍與健康知能,【男女合班】,,英語授課|5|,0,True,鄭匡佑,19,1,"1,10,11,1A,A221,學生活動中心 活動中心騎樓"
01130,A2,13,OPE430,A21B800-1,1,一年級體育（女生組）,,講義,基礎直排輪與健康知能,【男女合班】需自備直排輪(安全帽、護具含護膝、護肘、護掌),,,0,True,張育慈,11,9,"0,8,9,1A,A221,學生活動中心 活動中心騎樓"
01130,A2,15,OPE433,A21C100-1,1,一年級體育（女生組）,,講義,基礎飛輪有氧與健康知能,,,,0,True,彭怡千,37,1,"1,8,9,A44,A227,飛輪教室 飛輪教室"
01130,A2,17,OPE437,A21C500-1,1,一年級體育（女生組）,,講義,基礎拳擊健身與健康知能,【男女合班】自備3米手綁帶及拳擊手套,,,0,True,黃鴻鈞,22,3,"1,8,9,A63,A234,成大綜合體育館 體育館羽球場"
01130,A2,18,OPE406,A219400-1,1,一年級體育（女生組）,,講義,基礎桌球與健康知能,【男女合班】球具自備,,,0,True,蔡博任,25,0,"0,8,9,A63,A233,成大綜合體育館 體育館桌球場"
01130,A2,23,OPE418,A21A600-1,1,一年級體育（女生組）,,講義,基礎高爾夫與健康知能,【男女合班】第一次上課在自強校區橄欖球場集合，之後在校外場地上課(需自付購球費用，每次60元，不需自備球桿),,,0,True,彭怡千,17,3,"1,3,4,A47,A230,自強橄欖球場 自強橄欖球場"
01130,A2,25,OPE422,A21B000-1,1,一年級體育（女生組）,,講義,基礎健訓與健康知能,【男女合班】,,,0,True,彭怡千,22,0,"2,8,9,A36,A216,健休體適能 健休體適能"
01130,A2,27,OPE415,A21A300-1,1,一年級體育（女生組）,,講義,基礎健康有氧與健康知能,,,,0,True,洪甄憶,47,1,"0,8,9,A36,A216,健休體適能 健休體適能"
01130,A2,29,OPE439,A21C700-1,1,一年級體育（女生組）,,講義,基礎國際標準舞與健康知能,本序號僅接受女生選課，選本課程者須跳女步；於加簽階段則不限性別皆可選習。,,英語授課|5|,0,True,鄭匡佑,22,6,"0,8,9,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,31,OPE412,A21A000-2,1,一年級體育（女生組）,,講義,基礎排球與健康知能,,,,0,True,林政達,44,4,"0,8,9,A32,A212,自強籃球場 自強籃球場"
01130,A2,40,OPE432,A21C000-1,1,一年級體育（女生組）,,講義,基礎橄欖球與健康知能,【男女合班】,,,0,True,莊博堯,20,0,"4,8,9,A47,A230,自強橄欖球場 自強橄欖球場"
01130,A2,41,OPE438,A21C600-1,1,一年級體育（女生組）,,講義,基礎獨木舟與健康知能,【男女合班】,,,0,True,龔泰源,19,1,"1,8,9,A34,A214,勝利游泳池 勝利游泳池"
01130,A2,48,OPE417,A21A500-2,1,一年級體育（女生組）,,講義,基礎籃球與健康知能,【男女合班】,,,0,True,林欣仕,18,2,"0,8,9,A41,A222,光復籃球低場 光復籃球低場"
01130,A2,52,OPE411,A219900-1,1,一年級體育（女生組）,,講義,基礎體適能運動與健康知能,【男女合班】,,,0,True,黃鴻鈞,19,0,"3,8,9,A36,A216,健休體適能 健休體適能"
01130,A2,56,OPE414,A21A200-2,1,一年級體育（女生組）,,講義,基礎游泳與健康知能,泳具自備,,英語授課|5|,0,True,周學雯,30,5,"3,8,9,A63,A231,成大綜合體育館 體育館游泳池"
01130,A2,57,OPE436,A21C400-1,1,一年級體育（女生組）,,講義,基礎長距離跑與健康知能,,,,0,True,黃滄海,7,8,"1,8,9,A36,A216,健休體適能 健休體適能"
01130,A2,58,OPE408,A219600,1,一年級體育（女生組）,,講義,基礎硬網與健康知能,球具自備,,,0,True,馬上鈞,15,6,"2,8,9,A37,A217,自強網球場 自強網球場"
01130,A2,103,OPE440,A21C800,1,一年級體育（男生組）,,講義,基礎手球與健康知能,,,,0,True,許維哲,47,1,"3,8,9,A24,A204,光復籃排球場 光復籃排球場"
01130,A2,112,OPE419,A21A700,1,一年級體育（男生組）,,講義,基礎足球與健康知能,,,,0,True,楊書銘,35,13,"1,8,9,A21,A201,光復體育場 光復體育場"
01130,A2,138,OPE435,A21C300-1,1,一年級體育（男生組）,,講義,基礎撞球與健康知能,授課地點為勝利後門東寧路上戰神撞球館，該課程需收費，每學期400元，國定假日或是老師因公出差，亦可前往練習！,,,0,True,黃彥慈,34,1,"1,3,4,A39,A219,健休視聽室 健休視聽室"
01130,A2,143,OPE416,A21A400-1,1,一年級體育（男生組）,,講義,基礎壘球與健康知能,此課程為慢速壘球，請盡量自備手套,,,0,True,謝孟志,33,1,"0,8,9,A46,A229,自強壘球場 自強壘球場"
01130,A2,201,OPE0048,A211100-1,2,二年級體育（女生組）,,講義,太極拳（男女）,【男女合班】,,,0,True,高華君,20,0,"3,3,4,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,203,OPE0003,A222900-1,2,二年級體育（女生組）,,講義,羽球（男女）,【男女合班】球具自備,,,0,True,涂國誠,22,2,"0,6,7,A63,A234,成大綜合體育館 體育館羽球場"
01130,A2,207,OPE0217,A213200-1,2,二年級體育（女生組）,,講義,自由車（男女）,安全帽自備，校外場地上課,,,0,True,施光隆,19,0,"4,6,7,A35,A215,游泳池前 游泳池前"
01130,A2,209,OPE0206,A210601-1,2,二年級體育（女生組）,,講義,西洋劍（男女）　,【男女合班】此為進階課程，雖不限經驗，但將以擊劍選手之方式訓練。,,英語授課|5|,0,True,鄭匡佑,19,2,"0,10,11,1A,A221,學生活動中心 活動中心騎樓"
01130,A2,210,OPE0116,A203911-1,2,二年級體育（女生組）,,講義,足球（男女）,【男女合班】,,,0,True,楊書銘,24,0,"1,10,11,A21,A201,光復體育場 光復體育場"
01130,A2,211,OPE0043,A226000-1,2,二年級體育（女生組）,,講義,防身術（男女）,自備室內用(乾淨)運動鞋,,,0,True,許又文,17,2,"3,6,7,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,212,OPE0211,A224900-1,2,二年級體育（女生組）,,講義,直排輪（男女）,【男女合班】需自備直排輪、安全帽、護具(護膝、護肘、護掌),,,0,True,張育慈,20,0,"0,6,7,1A,A221,學生活動中心 活動中心騎樓"
01130,A2,214,OPE0051,A216000-1,2,二年級體育（女生組）,,講義,飛輪有氧（女）,,,,0,True,彭怡千,43,1,"3,8,9,A44,A227,飛輪教室 飛輪教室"
01130,A2,216,OPE0282,A215700-1,2,二年級體育（女生組）,,講義,飛輪有氧（男女）,【男女合班】,,,0,True,林欣仕,21,1,"2,10,11,A44,A227,飛輪教室 飛輪教室"
01130,A2,217,OPE33,A226500-1,2,二年級體育（女生組）,,講義,拳擊健身（男女）,【男女合班】自備3米手綁帶及拳擊手套,,,0,True,黃鴻鈞,27,0,"1,6,7,A63,A234,成大綜合體育館 體育館羽球場"
01130,A2,218,OPE0006,A220210-1,2,二年級體育（女生組）,,講義,桌球（男女）,【男女合班】球具自備,,,0,True,蔡博任,23,1,"0,6,7,A63,A233,成大綜合體育館 體育館桌球場"
01130,A2,223,OPE0113,A223000-1,2,二年級體育（女生組）,,講義,高爾夫（男女）,【男女合班】第一次上課在自強校區橄欖球場集合，之後在校外場地(需自付購球費用，每次60元，不需自備球桿),,,0,True,彭怡千,23,0,"2,3,4,A47,A230,自強橄欖球場 自強橄欖球場"
01130,A2,226,OPE0042,A223601-1,2,二年級體育（女生組）,,講義,國術（男女）,【男女合班】此為進階課程，內容會有一些飛踢和倒立或翻滾的動作，自備室內用(乾淨)運動鞋。上課地點為活動中心三樓武道館,,,0,True,鄭匡佑,22,1,"2,8,9,,,"
01130,A2,228,OPE0106,A2040F0-1,2,二年級體育（女生組）,,講義,排球（女）,,,,0,True,黃賢哲,37,11,"1,6,7,20,A235,中正堂 中正堂綜合球場"
01130,A2,232,OPE0103,A2057B0,2,二年級體育（女生組）,,講義,軟網（女）,【男女合班】球具自備,,,0,True,馬上鈞,20,2,"3,10,11,A37,A217,自強網球場 自強網球場"
01130,A2,234,OPE0037,A223802,2,二年級體育（女生組）,,講義,瑜伽（女）,大毛巾或舖巾自備,,,0,True,洪甄憶,37,3,"0,6,7,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,235,OPE0039,A223801-1,2,二年級體育（女生組）,,講義,瑜伽（男女）,【男女合班】大毛巾或舖巾自備,,,0,True,洪甄憶,23,0,"1,3,4,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,239,OPE0119,A204131-1,2,二年級體育（女生組）,,講義,橄欖球（男女）,【男女合班】,,,0,True,莊博堯,28,0,"4,6,7,A47,A230,自強橄欖球場 自強橄欖球場"
01130,A2,240,OPE0059,A226800-1,2,二年級體育（女生組）,,講義,獨木舟（男女）,【男女合班】,,,0,True,龔泰源,21,0,"1,6,7,A34,A214,勝利游泳池 勝利游泳池"
01130,A2,245,OPE0028,A2044A0,2,二年級體育（女生組）,,講義,韻律（女）,自備室內用(乾淨)運動鞋,,,0,True,高華君,39,1,"2,6,7,A38,A218,健休韻律教室 健休韻律教室"
01130,A2,252,OPE0012,A210200-1,2,二年級體育（女生組）,,講義,體適能運動（男女）,【男女合班】,,,0,True,黃鴻鈞,25,0,"0,6,7,A36,A216,健休體適能 健休體適能"
01130,A2,258,OPE0102,A224100-3,2,二年級體育（女生組）,,講義,硬網（男、女）,【男女合班】球具自備,,,0,True,馬上鈞,19,3,"2,10,11,A37,A217,自強網球場 自強網球場"
01130,A2,260,OPE493,A226900-2,2,二年級體育（女生組）,,講義,排球賽事場域實踐課程,彈性密集課程,,,0,True,黃鴻鈞,15,1,B24EMwsyW2JUD1Y6UV5eTFBrAg8BNAtnXWw=
