semester,departmentId,serialNumber,attributeCode,systemCode,forGrade,forClass,category,courseName,courseNote,tags,credits,instructors
1131,A1,101,FLC1016,A110500-1,,None,外國語言,基礎學術英文,模組一,None,2.0,['鍾淑玫']
1131,A1,102,FLC1022,A116700-2,,None,外國語言,高科技產業英文,模組二,None,2.0,['吳少方']
1131,A1,103,FLC1017,A110600-3,,None,外國語言,基礎學術溝通,模組一,None,2.0,['曾惠鈴']
1131,A1,104,FLC1029,A117400-4,,None,外國語言,資訊英文,模組二,None,2.0,['許富貴']
1131,A1,105,FLC1016,A110500-5,,None,外國語言,基礎學術英文,模組一,None,2.0,['鍾淑玫']
1131,A1,106,FLC1019,A110800-6,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['吳少方']
1131,A1,107,FLC1018,A110700-7,,None,外國語言,跨文化溝通,模組一,None,2.0,['許富貴']
1131,A1,108,FLC1017,A110600-8,,None,外國語言,基礎學術溝通,模組一,None,2.0,['賴諭萱']
1131,A1,109,FLC1031,A117600-9,,None,外國語言,職場英文,模組二,None,2.0,['曾惠鈴']
1131,A1,110,FLC1018,A110700-10,,None,外國語言,跨文化溝通,模組一,None,2.0,['鍾淑玫']
1131,A1,111,FLC1016,A110500-11,,None,外國語言,基礎學術英文,模組一,None,2.0,['辛佳玲']
1131,A1,112,FLC1027,A117200-12,,None,外國語言,創意產業英文,模組二,None,2.0,['曾惠鈴']
1131,A1,113,FLC1020,A110900-13,,None,外國語言,人文醫學英文,模組二,None,2.0,['許富貴']
1131,A1,114,FLC1017,A110600-14,,None,外國語言,基礎學術溝通,模組一,None,2.0,['賴諭萱']
1131,A1,115,FLC1017,A110600-15,,None,外國語言,基礎學術溝通,模組一,None,2.0,['阮素菁']
1131,A1,116,FLC1018,A110700-16,,None,外國語言,跨文化溝通,模組一,None,2.0,['陳安純']
1131,A1,117,FLC1037,A118300-17,,None,外國語言,用高階思維說故事,模組三,None,2.0,['阮素菁']
1131,A1,118,FLC1022,A116700-18,,None,外國語言,高科技產業英文,模組二,None,2.0,['吳少方']
1131,A1,119,FLC1016,A110500-19,,None,外國語言,基礎學術英文,模組一,None,2.0,['曾惠鈴']
1131,A1,120,FLC1025,A117000-20,,None,外國語言,基礎工程英文,模組二,None,2.0,['辛佳玲']
1131,A1,121,FLC1017,A110600-21,,None,外國語言,基礎學術溝通,模組一,None,2.0,['賴諭萱']
1131,A1,122,FLC1036,A118200-22,,None,外國語言,基礎英文寫作,模組一,None,2.0,['陳冠云']
1131,A1,123,FLC1019,A110800-23,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['陳安純']
1131,A1,124,FLC1018,A110700-24,,None,外國語言,跨文化溝通,模組一,None,2.0,['許富貴']
1131,A1,125,FLC1019,A110800-25,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['陳安純']
1131,A1,126,FLC1017,A110600-26,,None,外國語言,基礎學術溝通,模組一,None,2.0,['曾惠鈴']
1131,A1,127,FLC1028,A117300-27,,None,外國語言,經貿英文,模組二,None,2.0,['陳慧琴']
1131,A1,128,FLC1023,A116800-28,,None,外國語言,商業溝通英文,模組二,None,2.0,['賴諭萱']
1131,A1,129,FLC1016,A110500-29,,None,外國語言,基礎學術英文,模組一,None,2.0,['辛佳玲']
1131,A1,130,FLC1019,A110800-30,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['吳少方']
1131,A1,131,FLC1026,A117100-31,,None,外國語言,基礎科學英文,模組二,None,2.0,['陳冠云']
1131,A1,132,FLC1021,A111000-32,,None,外國語言,生物科技英文,模組二,None,2.0,['吳少方']
1131,A1,133,FLC1032,A117700-33,,None,外國語言,英語解說與發表,模組三,None,2.0,['許富貴']
1131,A1,134,FLC1036,A118200-34,,None,外國語言,基礎英文寫作,模組一,None,2.0,['陳慧琴']
1131,A1,135,FLC1030,A117500-35,,None,外國語言,餐旅英文,模組二,None,2.0,['陳冠云']
1131,A1,136,FLC1016,A110500-36,,None,外國語言,基礎學術英文,模組一,None,2.0,['曾惠鈴']
1131,A1,137,FLC1017,A110600-37,,None,外國語言,基礎學術溝通,模組一,None,2.0,['賴諭萱']
1131,A1,138,FLC1019,A110800-38,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['陳安純']
1131,A1,139,FLC1016,A110500-39,,None,外國語言,基礎學術英文,模組一,None,2.0,['辛佳玲']
1131,A1,140,FLC1017,A110600-40,,None,外國語言,基礎學術溝通,模組一,None,2.0,['曾惠鈴']
1131,A1,141,FLC1030,A117500-41,,None,外國語言,餐旅英文,模組二,None,2.0,['陳冠云']
1131,A1,142,FLC1021,A111000-42,,None,外國語言,生物科技英文,模組二,None,2.0,['吳少方']
1131,A1,143,FLC1018,A110700-43,,None,外國語言,跨文化溝通,模組一,None,2.0,['許富貴']
1131,A1,144,FLC1028,A117300-44,,None,外國語言,經貿英文,模組二,None,2.0,['陳慧琴']
1131,A1,145,FLC1019,A110800-45,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['陳安純']
1131,A1,146,FLC1016,A110500-46,,None,外國語言,基礎學術英文,模組一,None,2.0,['辛佳玲']
1131,A1,147,FLC1018,A110700-47,,None,外國語言,跨文化溝通,模組一,None,2.0,['許富貴']
1131,A1,148,FLC1019,A110800-48,,None,外國語言,聽力與摘記練習,模組一,None,2.0,['吳少方']
1131,A1,149,FLC1016,A110500-49,,None,外國語言,基礎學術英文,模組一,None,2.0,['曾惠鈴']
1131,A1,150,FLC1035,A118000-50,,None,外國語言,學術英文寫作,模組三,None,2.0,['陳冠云']
1131,A1,151,FLC1018,A110700-51,,None,外國語言,跨文化溝通,模組一,None,2.0,['阮素菁']
1131,A1,152,FLC1018,A110700-52,,None,外國語言,跨文化溝通,模組一,None,2.0,['阮素菁']
1131,A1,153,FLC1016,A110500-53,,None,外國語言,基礎學術英文,模組一,None,2.0,['陳俐文']
1131,A1,154,FLC1028,A117300-54,,None,外國語言,經貿英文,模組二,None,2.0,['陳慧琴']
1131,A1,155,FLC1025,A117000-55,,None,外國語言,基礎工程英文,模組二,None,2.0,['辛佳玲']
1131,A1,156,FLC1033,A117800-56,,None,外國語言,國際禮儀與溝通,模組三,None,2.0,['賴諭萱']
1131,A1,157,FLC1036,A118200-57,,None,外國語言,基礎英文寫作,模組一,None,2.0,['陳慧琴']
1131,A1,158,FLC1017,A110600-58,,None,外國語言,基礎學術溝通,模組一,None,2.0,['陳俐文']
1131,A1,159,FLC1031,A117600-59,,None,外國語言,職場英文,模組二,None,2.0,['辛佳玲']
1131,A1,160,FLC1026,A117100-60,,None,外國語言,基礎科學英文,模組二,None,2.0,['賴諭萱']
1131,A1,501,FLC1062,A122920-1,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,502,FLC1062,A122920-2,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,503,FLC1062,A122920-3,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,504,FLC1062,A122920-4,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,505,FLC1062,A122920-5,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,506,FLC1062,A122920-6,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,507,FLC1062,A122920-7,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,508,FLC1062,A122920-8,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,509,FLC1062,A122920-9,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,510,FLC1062,A122920-10,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,511,FLC1062,A122920-11,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,512,FLC1062,A122920-12,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,513,FLC1062,A122920-13,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,514,FLC1062,A122920-14,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,515,FLC1062,A122920-15,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,516,FLC1062,A122920-16,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,517,FLC1062,A122920-19,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,518,FLC1062,A122920-17,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,519,FLC1062,A122920-18,,None,講義,日文（二）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,520,FLC1064,A160140-1,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,521,FLC1064,A160140-2,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,522,FLC1064,A160140-3,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,523,FLC1064,A160140-4,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,524,FLC1064,A160140-5,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,525,FLC1064,A160140-6,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,526,FLC1064,A160140-7,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,527,FLC1064,A160140-8,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,528,FLC1064,A160140-9,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,529,FLC1064,A160140-10,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,530,FLC1064,A160140-11,,None,講義,日文（四）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,531,FLC1066,A122960-1,,None,講義,日文（六）,限非日語母語人士修課,None,2.0,['朱戎梅']
1131,A1,532,FLC1066,A122960-2,,None,講義,日文（六）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,533,FLC1066,A122960-3,,None,講義,日文（六）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,534,FLC1066,A122960-4,,None,講義,日文（六）,限非日語母語人士修課,None,2.0,['張巧螓']
1131,A1,535,FLC1066,A122960-5,,None,講義,日文（六）,限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,536,FLC1104,A119500-1,,None,講義,進階日語生活會話,適合具日語檢定N4以上程度或已修習日文(四)以上課程者，限非日語母語人士修課,None,2.0,['井上智鶴']
1131,A1,537,FLC1103,A119200-1,,None,講義,進階日語閱讀,適合具日語檢定N4以上程度或已修習日文(四)以上課程者，限非日語母語人士修課 。,None,2.0,['張巧螓']
1131,A1,538,FLC1070,A123120-1,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
1131,A1,539,FLC1070,A123120-2,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
1131,A1,540,FLC1070,A123120-3,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
1131,A1,541,FLC1070,A123120-4,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
1131,A1,542,FLC1070,A123120-5,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
1131,A1,543,FLC1070,A123120-6,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
1131,A1,544,FLC1070,A123120-7,,None,講義,法文（二）,限非法語母語人士修課,None,2.0,['林蜀媛']
